@id,shelter_type,lon,lat,name
node/1744826488,gazebo,-73.9104234,40.913914,place001
node/2817242620,gazebo,-73.9102774,40.9135537,place002
node/2912062585,picnic_shelter,-73.9136247,40.9001582,place003
node/2912134266,picnic_shelter,-73.9113655,40.8991127,place004
node/2912188549,,-73.8058803,40.8726722,place005
node/3376088166,,-73.9626289,40.6937285,place006
node/4726763214,gazebo,-74.2196701,40.5443235,place007
node/5213849325,,-73.9318684,40.7848372,place008
node/5248796374,public_transport,-73.9823113,40.7314785,place009
node/5980559215,,-73.9283507,40.8398457,place010
node/5980564812,,-73.969059,40.6196614,place011
node/6124941793,public_transport,-73.9821628,40.7317019,place012
node/6128549130,public_transport,-73.962632,40.7584996,place013
node/6382251162,picnic_shelter,-74.0009093,40.6941971,place014
node/6382251163,picnic_shelter,-74.000881,40.6942365,place015
node/6382251164,picnic_shelter,-74.0008706,40.6942586,place016
node/6382251165,picnic_shelter,-74.0008593,40.6942787,place017
node/6382251166,picnic_shelter,-74.0008467,40.694297,place018
node/6382251167,picnic_shelter,-74.0008146,40.6943436,place019
node/6382251168,picnic_shelter,-74.0007989,40.6943631,place020
node/6382251169,picnic_shelter,-74.0007822,40.6943798,place021
node/6382251170,picnic_shelter,-74.0007612,40.6944005,place022
node/6382251171,picnic_shelter,-74.0007522,40.6944505,place023
node/6382251172,picnic_shelter,-74.0007281,40.6944653,place024
node/6382251173,picnic_shelter,-74.0007132,40.6944828,place025
node/6382251174,picnic_shelter,-74.0006879,40.6945019,place026
node/6382251175,picnic_shelter,-74.0006661,40.694447,place027
node/6382251176,picnic_shelter,-74.0006408,40.6944523,place028
node/6382251177,picnic_shelter,-74.0006215,40.6944672,place029
node/7194196661,,-73.8365758,40.5791364,place030
node/7194196662,,-73.8365026,40.5790222,place031
node/7194196663,,-73.8364457,40.5789264,place032
node/7341379156,,-73.9875007,40.771684,place033
node/7341379157,,-73.9873533,40.7716233,place034
node/7341379158,,-73.9873118,40.7716047,place035
node/7341379159,,-73.9872647,40.7715852,place036
node/7341379160,,-73.9872212,40.7715681,place037
node/7341379161,,-73.9874467,40.771662,place038
node/7633560765,picnic_shelter,-73.9863335,40.7718123,place039
node/7633560767,picnic_shelter,-73.9864227,40.7716942,place040
node/7633560771,picnic_shelter,-73.9863785,40.7717676,place041
node/7633560772,picnic_shelter,-73.9862558,40.7716259,place042
node/8676382822,,-73.9857221,40.7712544,place043
node/8881193203,gazebo,-73.9380837,40.8347263,place044
node/9103512095,gazebo,-73.7681259,40.7551958,place045
node/9104152044,gazebo,-73.7679505,40.7552571,place046
node/9346743832,,-73.8102601,40.735585,place047
node/9681296916,public_transport,-73.8716105,40.7331748,place048
node/9681307817,public_transport,-73.8718886,40.7331915,place049
node/10202865989,gazebo,-74.2372367,40.5212721,place050
node/10749960362,picnic_shelter,-73.985394,40.5946539,place051
node/11079692414,sun_shelter,-73.8850682,40.8352597,place052
node/11117435195,weather_shelter,-73.9608684,40.7214292,place053
node/11117435196,weather_shelter,-73.9608958,40.7214478,place054
node/11117473206,weather_shelter,-73.9610702,40.7215577,place055
node/11117473207,weather_shelter,-73.9611324,40.7215987,place056
node/11121307329,weather_shelter,-73.9642805,40.7201039,place057
node/11339582074,public_transport,-73.8017618,40.7617269,place058
node/11868084318,public_transport,-73.9935443,40.7505085,place059
node/12045032332,gazebo,-73.9115913,40.8430128,place060
node/12159986403,pergola,-74.0404182,40.6221846,place061
node/12282729948,,-73.9455055,40.7346127,place062
node/12282729949,,-73.9455216,40.7346355,place063
node/12282729956,gazebo,-73.945708,40.7346311,place064
node/12285659258,picnic_shelter,-73.9465707,40.7345818,place065
node/12285694410,,-73.9460136,40.7345813,place066
node/12285694411,,-73.9459922,40.7345567,place067
node/12285694412,,-73.946057,40.7345749,place068
node/12285694413,,-73.9460397,40.7345507,place069
node/12347042932,gazebo,-73.969629,40.778972,place070
node/12434315563,public_transport,-74.162155,40.6078521,place071
node/12434444669,public_transport,-74.1772698,40.6138238,place072
node/12621131259,gazebo,-73.947315,40.7196561,place073
node/12776781749,picnic_shelter,-74.1480128,40.5977184,place074
node/12776781750,picnic_shelter,-74.1480849,40.5977191,place075
node/12776781751,picnic_shelter,-74.1480499,40.5977496,place076